Major,Sector/Industry,Organization/Institution,Job Title/Program,Employment Status,Class Year
Art,"Arts, Entertainment, Sports, Communications and Marketing",Live Nation,Talent Team Intern,Employed,2023
Art,"Education, Social & Community Services and Nonprofits",Paramount Schools of Excellence,Certified Teacher,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",National Institutes of Health,Postbacclaureate Research Fellow,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",National Institutes of Health,Postbacclaureate Research Fellow,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",Compleat Rehab and Sports Therapy,Physical Therapy Technician,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",Weill Cornell Medicine,Research Technician I,Employed,2023
Biology,"Education, Social & Community Services and Nonprofits",Colorado State University,Research Associate,Employed,2023
Biology,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Investment Banking Analyst,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",Foot and Ankle Associates of the Mid-Atlantic,Medical Assistant,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",Atrium Health,Clinical Researcher,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",Brigham and Women's Hospital,Clinical Research Coordinator,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research","International Spine, Pain, and Performance Center",Patient Care Coordinator,Employed,2023
Biology,"Education, Social & Community Services and Nonprofits",Salem Academy,Math Teacher,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",Washington University in St. Louis,Research Technician I,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",Reproductive Specialists of the Carolinas,Medical Assistant,Employed,2023
Biology,"Healthcare, Medicine, and Medical Research",Dana-Farber Cancer Institute,Laboratory Technician,Employed,2023
Biology,,Fulbright Colombia,,Employed,2023
Biology,,NIH Post-Bacc Intramural Training Award (IRTA),Fellow,Employed,2023
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",Yale University,Biostatistics,Continuing Education,2023
Biology,"Healthcare, Medicine, and Medical Research",,Physician Assistant,Continuing Education,2023
Biology,"Healthcare, Medicine, and Medical Research",The Rockefeller University,Biomedical Sciences,Continuing Education,2023
Biology,"Healthcare, Medicine, and Medical Research",Stanford University,Biomedical Sciences,Continuing Education,2023
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",UC Berkeley,Biology,Continuing Education,2023
Biology,"Healthcare, Medicine, and Medical Research",Vanderbilt University,Nursing,Continuing Education,2023
Biology,"Healthcare, Medicine, and Medical Research",,Immunology,Continuing Education,2023
Biology,"Healthcare, Medicine, and Medical Research",North Carolina State University-Raleigh,Veterinary Medicine,Continuing Education,2023
Biology,"Healthcare, Medicine, and Medical Research",Uniformed Services University of the Health Sciences,Medicine,Continuing Education,2023
Biology,,Harvard University,,Continuing Education,2023
Chemistry,"Science, Technology, Engineering, Mathematics and Computer Science",Veeva Systems,Associate Consultant,Employed,2023
Chemistry,"Healthcare, Medicine, and Medical Research",Mountain Area Health Education Center,Davidson Impact Fellow,Employed,2023
Chemistry,"Healthcare, Medicine, and Medical Research",Emory University,Research Interviewer,Employed,2023
Chemistry,"Healthcare, Medicine, and Medical Research",SGA Dental Partners,Dental Assistant,Employed,2023
Chemistry,"Healthcare, Medicine, and Medical Research",National Cancer Institute,Postbacclaureate Research Fellow,Employed,2023
Chemistry,"Science, Technology, Engineering, Mathematics and Computer Science",Vanderbilt University,Chemistry,Continuing Education,2023
Chemistry,"Science, Technology, Engineering, Mathematics and Computer Science",Purdue University-West Lafayette,Chemistry,Continuing Education,2023
Chemistry,"Healthcare, Medicine, and Medical Research",Georgia State University,Physical Therapy,Continuing Education,2023
Chemistry,"Healthcare, Medicine, and Medical Research",Augusta State University,Dentistry,Continuing Education,2023
Chemistry,"Science, Technology, Engineering, Mathematics and Computer Science",Rutgers University,Biochemistry,Continuing Education,2023
Chemistry,"Science, Technology, Engineering, Mathematics and Computer Science",Clemson University,Chemistry,Continuing Education,2023
Classical Languages and Lit,"Banking, Finance, Real Estate and Insurance",Velocity Public Records,Title Abstractor,Employed,2023
Communication Studies,"Banking, Finance, Real Estate and Insurance",Barings,Global Private Finance Analyst,Employed,2023
Communication Studies,"Consulting, Management, Sales, Human Resources and General Business",Grant Thornton,ESG Consulting Associate,Employed,2023
Communication Studies,"Banking, Finance, Real Estate and Insurance",CapitalOne,Human Resources,Employed,2023
Communication Studies,"Consulting, Management, Sales, Human Resources and General Business",Enterprise Knowledge,Analyst,Employed,2023
Communication Studies,"Consulting, Management, Sales, Human Resources and General Business",William & Mary,Business,Continuing Education,2023
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Altman Solon,Analyst,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Corporate Banking Analyst,Employed,2023
Economics,"Consulting, Management, Sales, Human Resources and General Business",Walmart,Product Specialist,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Corporate Banking Analyst,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",US Bancorp,DCM Analyst,Employed,2023
Economics,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Analyst,Employed,2023
Economics,"Arts, Entertainment, Sports, Communications and Marketing",Seattle Mariners,Baseball Player,Employed,2023
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Dentsply Sirona,Finance Rotational Program Analyst,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",Pacer Financial,Internal Wholesaler,Employed,2023
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Epic Systems,EDI,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Investment Banking Analyst,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",Strategic Investment Group,Investment Analyst,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",Capital Group,Investment Operations Associate,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",Morningstar,Morningstar Development Program,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",Morgan Stanley,Analyst,Employed,2023
Economics,"Banking, Finance, Real Estate and Insurance",Soave Private Investors,Junior Portfolio Manager,Employed,2023
Economics,"Public Policy, Politics and Law",College of William and Mary,Public Policy,Continuing Education,2023
Economics,"Banking, Finance, Real Estate and Insurance",University of Miami,Finance,Continuing Education,2023
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",University of Notre Dame,Civil and Environmental Engineering,Continuing Education,2023
Economics,"Banking, Finance, Real Estate and Insurance",Vanderbilt University,Master's of Accounting,Continuing Education,2023
Economics,"Banking, Finance, Real Estate and Insurance",Claremont McKenna College,Finance,Continuing Education,2023
English,"Arts, Entertainment, Sports, Communications and Marketing",National Journal,Digital and Multimedia Associate,Employed,2023
English,"Banking, Finance, Real Estate and Insurance",Ally Financial,Early Talent Development Audit Analyst,Employed,2023
English,"Public Policy, Politics and Law",NARAL Pro-Choice America,Georgia Organizing Intern,Employed,2023
English,"Science, Technology, Engineering, Mathematics and Computer Science",Red Ventures,Associate Copywriter,Employed,2023
English,"Science, Technology, Engineering, Mathematics and Computer Science",Duke University,Biostatistics,Continuing Education,2023
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Path Light Pro,Regional Quality Specialist,Employed,2023
Environmental Studies,"Banking, Finance, Real Estate and Insurance",Ernst & Young,Business Consultant,Employed,2023
Environmental Studies,"Arts, Entertainment, Sports, Communications and Marketing",Penguin Random House,Sales Associate,Employed,2023
Environmental Studies,"Education, Social & Community Services and Nonprofits",Teach for America,Middle School Teacher,Employed,2023
Environmental Studies,"Public Policy, Politics and Law",Environment America,Public Lands Associate,Employed,2023
Environmental Studies,,High Mountain Institute Apprenticeship Program,Fellow,Employed,2023
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Auburn University,Fisheries and aqauculture,Continuing Education,2023
French and Francophone Studies,"Public Policy, Politics and Law",Law Office of Lewis J. Saret,Legal Assistant,Employed,2023
French and Francophone Studies,"Healthcare, Medicine, and Medical Research",Yale University,Biomedical Sciences,Continuing Education,2023
French and Francophone Studies,"Healthcare, Medicine, and Medical Research",Emory University,Public Health,Continuing Education,2023
Gender and Sexuality Studies,"Education, Social & Community Services and Nonprofits",Davidson College,Dean Rusk Advising/ Events Fellow,Employed,2023
Gender and Sexuality Studies,"Education, Social & Community Services and Nonprofits",Trinity Presbyterian Church,Coordinator of Ministry Programs,Employed,2023
Gender and Sexuality Studies,"Healthcare, Medicine, and Medical Research",Spectrum Behavioral Health,Medical Scribe,Employed,2023
German Studies,"Education, Social & Community Services and Nonprofits",Florida State University,History,Continuing Education,2023
German Studies,"Healthcare, Medicine, and Medical Research",,Veterinary Medicine,Continuing Education,2023
Hispanic Studies,"Education, Social & Community Services and Nonprofits",St Ebbe's Church,Ministry Assistant,Employed,2023
Hispanic Studies,"Banking, Finance, Real Estate and Insurance",Global Endowment Management,Client Strategy Analyst,Employed,2023
History,"Public Policy, Politics and Law",The Fogle Law Firm LLC,Paralegal,Employed,2023
History,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Strategy Analyst,Employed,2023
History,"Banking, Finance, Real Estate and Insurance",Street Diligence,Sales Development Representative,Employed,2023
History,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Investment Banking Analyst,Employed,2023
History,"Education, Social & Community Services and Nonprofits",Georgia Justice Project,Legal and Program Assistant,Employed,2023
History,"Public Policy, Politics and Law",County of NY District Attorney,Discovery Specialist,Employed,2023
History,"Healthcare, Medicine, and Medical Research","Health Care Service Corporation (BCBS IL, MT, NM, OK, TX)",Associate Project Manager,Employed,2023
History,"Public Policy, Politics and Law",Boston College,Political Science,Continuing Education,2023
History,"Healthcare, Medicine, and Medical Research",,Pre-Med (Post-Baccalaureate),Continuing Education,2023
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits",Simmons University,Admissions Counselor,Employed,2023
Interdisciplinary Studies,"Arts, Entertainment, Sports, Communications and Marketing",Miami Dolphins & Hard Rock Stadium,LRP Associate,Employed,2023
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",Boston Children's Hospital,Research Assistant,Employed,2023
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",Emory,Postbacclaureate Research Fellow,Employed,2023
Interdisciplinary Studies,"Arts, Entertainment, Sports, Communications and Marketing",Moss Farms Diving Tigers,Diving Coach,Employed,2023
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",National Institutes of Health,Project Manager,Employed,2023
Interdisciplinary Studies,"Banking, Finance, Real Estate and Insurance",Goldman Sachs,Technology Analyst,Employed,2023
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits",Davidson College,Health Education Fellow,Employed,2023
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",Boston Children's Hospital,Research Assistant,Employed,2023
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",Boston Children's Hospital,Clinical Assistant,Employed,2023
Interdisciplinary Studies,"Consulting, Management, Sales, Human Resources and General Business",Venture for America,VFA Fellow,Employed,2023
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits",Vanderbilt University,M.E.d,Continuing Education,2023
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",George Washington University,Epidemiology,Continuing Education,2023
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits",University of Illinois-Chicago,Linguistics,Continuing Education,2023
Interdisciplinary Studies,"Public Policy, Politics and Law",Duke University,Law,Continuing Education,2023
Interdisciplinary Studies,"Public Policy, Politics and Law",Duke University,Law,Continuing Education,2023
Latin American Studies,"Consulting, Management, Sales, Human Resources and General Business",Wake Forest University School of Business,Business,Continuing Education,2023
Mathematics,"Banking, Finance, Real Estate and Insurance",Morgan Stanley,Analyst,Employed,2023
Mathematics,"Banking, Finance, Real Estate and Insurance",Harris Williams,Investment Banking Analyst,Employed,2023
Mathematics,"Banking, Finance, Real Estate and Insurance",Ally,Analyst,Employed,2023
Mathematics,"Science, Technology, Engineering, Mathematics and Computer Science",Duke University,Master of Science in Statistical Science,Continuing Education,2023
Mathematics,"Science, Technology, Engineering, Mathematics and Computer Science",,Applied Statistics,Continuing Education,2023
Mathematics,"Healthcare, Medicine, and Medical Research",Duke University,Medical Physics,Continuing Education,2023
Music,"Education, Social & Community Services and Nonprofits",Oak Hill Academy,Social Studies Instructor,Employed,2023
Music,"Education, Social & Community Services and Nonprofits",Gaston County Schools,Chorus Teacher at York Chester Middle School,Employed,2023
Philosophy,"Public Policy, Politics and Law",,Law,Continuing Education,2023
Psychology,"Education, Social & Community Services and Nonprofits",Woodlawn School,Assistant Teacher,Employed,2023
Psychology,"Public Policy, Politics and Law",Sanford Heisler Sharp,Legal Imtake and Operations Specialist,Employed,2023
Psychology,"Healthcare, Medicine, and Medical Research",Brigham and Women's Hospital,Medical Assistant,Employed,2023
Psychology,"Arts, Entertainment, Sports, Communications and Marketing",RVO Health,Marketing Associate,Employed,2023
Psychology,"Healthcare, Medicine, and Medical Research",Aroga Home care,Caregiver,Employed,2023
Psychology,"Arts, Entertainment, Sports, Communications and Marketing",Lippe Taylor,Junior Designer,Employed,2023
Psychology,"Education, Social & Community Services and Nonprofits",Twinkle Mapo AP,Certified Teacher,Employed,2023
Psychology,"Education, Social & Community Services and Nonprofits",Georgetown University Graduate School of Arts and Sciences,Admissions Analyst,Employed,2023
Psychology,"Healthcare, Medicine, and Medical Research",Baylor College of Medicine,Research Coordinator I,Employed,2023
Psychology,"Healthcare, Medicine, and Medical Research",UNC TEACCH,Clinical Research Assistant,Employed,2023
Psychology,"Arts, Entertainment, Sports, Communications and Marketing",Lippe Taylor,Integrated Marketing Intern,Employed,2023
Psychology,"Healthcare, Medicine, and Medical Research",University of North Carolina-Chapel Hill,Clinical Mental Health Counseling,Continuing Education,2023
Psychology,"Arts, Entertainment, Sports, Communications and Marketing",,Sport Psychology,Continuing Education,2023
Psychology,"Healthcare, Medicine, and Medical Research",Pacific Northwest University,Medicine,Continuing Education,2023
Psychology,"Arts, Entertainment, Sports, Communications and Marketing",Northern State University,Sports Management & Leadership,Continuing Education,2023
Psychology,"Healthcare, Medicine, and Medical Research",,Physician Assistant,Continuing Education,2023
Psychology,"Arts, Entertainment, Sports, Communications and Marketing",University of South Carolina,MFA in Poetry,Continuing Education,2023
Psychology,"Healthcare, Medicine, and Medical Research",,Medicine,Continuing Education,2023
Psychology,"Healthcare, Medicine, and Medical Research",Northeastern University,Clinical Mental Health Counseling,Continuing Education,2023
Psychology,"Healthcare, Medicine, and Medical Research",Maastricht University (Netherlands),Master of Science,Continuing Education,2023
Psychology,,UNCC,Doctorate,Continuing Education,2023
Psychology,"Public Policy, Politics and Law",,J.D.,Continuing Education,2023
Religious Studies,"Education, Social & Community Services and Nonprofits",College Advising Corps,College Adviser,Employed,2023
Religious Studies,"Education, Social & Community Services and Nonprofits",Columbia University,MA in Islamic Studies,Continuing Education,2023
Sociology,,Fulbright Germany,,Employed,2023
Sociology,,Davidson Impact Fellowship,Fellow,Employed,2023
Sociology,"Arts, Entertainment, Sports, Communications and Marketing",Laura Park Designs,Account Coordinator,Employed,2023
Sociology,"Education, Social & Community Services and Nonprofits",,Social Work,Continuing Education,2023
Theatre,"Banking, Finance, Real Estate and Insurance",Truist,Technology Analyst on the Technology and Innovation track of the Leadership Development Program,Employed,2023
Africana Studies,"Banking, Finance, Real Estate and Insurance",Equitable Advisors,Personal Financial Advisor,Employed,2022
Africana Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Google Career Certificates,UX Design,Continuing Education,2022
Anthropology,"Healthcare, Medicine, and Medical Research",Novant Health,Pharmacy Technician,Employed,2022
Anthropology,"Science, Technology, Engineering, Mathematics and Computer Science",Apple,Backend Software Engineer,Employed,2022
Anthropology,"Education, Social & Community Services and Nonprofits",College of William and Mary,"Educational Policy, Planning, and Leadership - Higher Education",Continuing Education,2022
Art,"Arts, Entertainment, Sports, Communications and Marketing",Tayloe Piggott Gallery,Gallery Assistant,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",Emory University School of Medicine,Clinical Research Assistant,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",National Human Genome Research Institute,Clinical research coordinator,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",UNC Chapel Hill,Clinical Research Coordinator,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",ProScribe,Medical Record Transcriber,Employed,2022
Biology,"Banking, Finance, Real Estate and Insurance","RA Capital Management, LLC",Junior Healthcare Associate,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",National Institutes of Health,IRTA Post-Baccaleaurate,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",Duke Human Vaccine Institute,Research Technician,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",Hope Community Clinic of East Charlotte,Medical Assistant,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",University of Chicago,Community Health Research Assistant,Employed,2022
Biology,"Education, Social & Community Services and Nonprofits",ALSAC/St. Jude Children's Research Hospital,Research technician,Employed,2022
Biology,"Education, Social & Community Services and Nonprofits",Avodah,Patient Advocate,Employed,2022
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",Duke Human Vaccine Institute,Research Technician,Employed,2022
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",Capital Digestive Care,Medical Technician,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",National Institutes of Health,Postbaccalaureate IRTA Fellow,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",National Human Genome Research Institute,Scientific Program Analyst,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",Sinai Hospital,Researcher,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",Mayo Clinic,Post-baccalaureate Research Education Program (PREP) Scholar,Employed,2022
Biology,"Healthcare, Medicine, and Medical Research",DeSales University,Physical Therapy (DPT),Continuing Education,2022
Biology,"Healthcare, Medicine, and Medical Research",Medical University of South Carolina,Pre-Medicine,Continuing Education,2022
Biology,"Healthcare, Medicine, and Medical Research",Tufts University,DVM,Continuing Education,2022
Biology,"Healthcare, Medicine, and Medical Research",Northwestern University,Physical Therapy,Continuing Education,2022
Biology,"Healthcare, Medicine, and Medical Research",Wake Forest University,Medicine,Continuing Education,2022
Biology,"Healthcare, Medicine, and Medical Research",Royal College of Surgeons Ireland,Medicine,Continuing Education,2022
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",Mobility Euopean Master's in Evolution,Evolutionary Biology,Continuing Education,2022
Biology,"Healthcare, Medicine, and Medical Research",Uniformed Services University of the Health Sciences,Medicine,Continuing Education,2022
Chemistry,"Healthcare, Medicine, and Medical Research",Project Horseshoe Farm,Fellow,Employed,2022
Chemistry,"Healthcare, Medicine, and Medical Research",Children's Hospital of Philadelphia,Fellow,Employed,2022
Chemistry,"Healthcare, Medicine, and Medical Research",Atrium Wake Forest Baptist,Nursing Assistant in Pediatric Emergency Department,Employed,2022
Chemistry,"Science, Technology, Engineering, Mathematics and Computer Science",Yale University,Chemical Engineering,Continuing Education,2022
Classical Studies,"Education, Social & Community Services and Nonprofits",St. Johns Classical Academy,,Employed,2022
Computer Science,"Education, Social & Community Services and Nonprofits",Capgemini America Inc.,Programmer/Developer,Employed,2022
Computer Science,"Banking, Finance, Real Estate and Insurance",Brex,Operations Analyst,Employed,2022
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",General Motors,Software Developer,Employed,2022
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",SAS - Analytics Software & Solutions,Technical Consultant,Employed,2022
Computer Science,"Consulting, Management, Sales, Human Resources and General Business",Accenture,Advanced Application Engineering Analyst,Employed,2022
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Microsoft,Support Engineer,Employed,2022
Computer Science,"Consulting, Management, Sales, Human Resources and General Business",Caterpillar Inc.,Associate Data Scientist,Employed,2022
Computer Science,"Banking, Finance, Real Estate and Insurance",EY LLP,Technology Consultant,Employed,2022
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Microsoft,Software Engineer,Employed,2022
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Qualtrics,Software Development Engineer,Employed,2022
Computer Science,"Consulting, Management, Sales, Human Resources and General Business",Huron Consulting,Enterprise Solutions and Analytics Consultant,Employed,2022
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Southern Methodist University,Masters,Continuing Education,2022
East Asian Studies,"Banking, Finance, Real Estate and Insurance",Ridetop Research,Associate Data Scientist,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Analyst (Investment Banking),Employed,2022
Economics,"Public Policy, Politics and Law",Federal Deposit Insurance Corporation,Financial Institution Specialist,Employed,2022
Economics,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Strategy Analyst,Employed,2022
Economics,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Analyst (Management Consulting),Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",JPMorgan Chase & Co.,Private Bank Analyst,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",McSoley McCoy & Co.,Staff Accountant,Employed,2022
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Palantir Technologies,Deployment Strategist,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",Malmo Group LLC,Personal Financial Advisor,Employed,2022
Economics,"Consulting, Management, Sales, Human Resources and General Business",Accenture,Consulting Analyst,Employed,2022
Economics,"Consulting, Management, Sales, Human Resources and General Business",Cornerstone Research,analyst,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",Bank of America,Analyst (Investment Banking),Employed,2022
Economics,"Consulting, Management, Sales, Human Resources and General Business",PricewaterhouseCoopers (PwC),Associate Management Consultant,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",Ridgetop Research,Associate,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",Baldwin Risk Partners,Partnership Analyst,Employed,2022
Economics,"Arts, Entertainment, Sports, Communications and Marketing",Red Ventures,Digital Marketing Analyst,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",Bank of America,Analyst (Investment Banking),Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",Harris Williams,Investment Banking Analyst,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",Liberty Mutual Insurance,Analyst Development Program,Employed,2022
Economics,"Arts, Entertainment, Sports, Communications and Marketing",VaynerMedia,Media Buying & Planning Resident,Employed,2022
Economics,"Consulting, Management, Sales, Human Resources and General Business",Boston Consulting Group (BCG),Junior Knowledge Analyst,Employed,2022
Economics,"Education, Social & Community Services and Nonprofits",Foundation For The Carolinas,Data Analysis & Policy Research Specialist,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",JPMorgan Chase & Co.,Analyst,Employed,2022
Economics,"Banking, Finance, Real Estate and Insurance",TIAA,Advisory Relations,Employed,2022
Economics,"Consulting, Management, Sales, Human Resources and General Business",Georgetown University,Masters in Management,Continuing Education,2022
Economics,"Consulting, Management, Sales, Human Resources and General Business",University of Notre Dame,Masters of management,Continuing Education,2022
Economics,"Banking, Finance, Real Estate and Insurance",Santa Clara University,Finance and Analytics,Continuing Education,2022
Economics,"Banking, Finance, Real Estate and Insurance",Michigan State University,Econo,Continuing Education,2022
Economics,"Banking, Finance, Real Estate and Insurance",Claremont McKenna College,Masters in Finance,Continuing Education,2022
Economics,"Banking, Finance, Real Estate and Insurance",Oxford University,MSc Financial Economics,Continuing Education,2022
Economics,"Consulting, Management, Sales, Human Resources and General Business",Miami University,Masters of Science in Business Management,Continuing Education,2022
English,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Strategy Analyst,Employed,2022
English,"Arts, Entertainment, Sports, Communications and Marketing",W. W. Norton & Company,Publishing Sales Representative,Employed,2022
English,"Education, Social & Community Services and Nonprofits","CIEE: Council on International Educational Exchange, Inc.",Teaching assistant,Employed,2022
English,"Consulting, Management, Sales, Human Resources and General Business",Bain and Company,Associate Consultant,Employed,2022
English,"Consulting, Management, Sales, Human Resources and General Business",Huron Consulting,Higher Education Consulting Analyst,Employed,2022
English,"Healthcare, Medicine, and Medical Research",Atrium Health,CNA,Employed,2022
English,"Arts, Entertainment, Sports, Communications and Marketing","University of North Carolina, Wilmington",English,Continuing Education,2022
English,"Arts, Entertainment, Sports, Communications and Marketing",University of St. Andrew's,Contemporary and Modern Literature and Culture,Continuing Education,2022
Environmental Studies,"Education, Social & Community Services and Nonprofits",Habitat for Humanity International,Davidson Impact Fellow,Employed,2022
Environmental Studies,"Arts, Entertainment, Sports, Communications and Marketing",Maxim Healthcare Services,Healthcare Recruiter,Employed,2022
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Corvid Technologies,Corporate Development Associate,Employed,2022
Environmental Studies,"Education, Social & Community Services and Nonprofits",Salzburg Global Seminar,Davidson Impact Fellow,Employed,2022
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Duke University,Environmental Management,Continuing Education,2022
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",University of Virginia,Environmental and Urban Planning,Continuing Education,2022
Gender and Sexuality Studies,"Banking, Finance, Real Estate and Insurance",Georgia Justice Project,Davidson Impact Fellow,Employed,2022
Gender and Sexuality Studies,"Healthcare, Medicine, and Medical Research",UNC Health,Medical Scribe,Employed,2022
Gender and Sexuality Studies,"Arts, Entertainment, Sports, Communications and Marketing",Middlebury College,Spanish Language,Continuing Education,2022
Hispanic Studies,"Consulting, Management, Sales, Human Resources and General Business",Boston Consulting Group,Associate,Employed,2022
Hispanic Studies,"Consulting, Management, Sales, Human Resources and General Business",Bryant University,Masters of Business,Employed,2022
Hispanic Studies,"Healthcare, Medicine, and Medical Research",McGovern Medical School at The University of Texas Health Science Center at Houston (UTHealth),Medicine,Continuing Education,2022
